timestamp,service_state,process_count,ram_mb_max,cpu_pct,log_bytes,decrypt_ok
2026-08-12T19:26:11.8131375+03:00,RUNNING,2,11,54,0,2330168,fail_2
2026-08-12T19:31:13.0857639+03:00,RUNNING,1,11,55,0,2358836,fail_2
2026-08-12T19:36:14.3143540+03:00,RUNNING,2,11,52,0,9836,ok
2026-08-12T19:41:15.4664371+03:00,RUNNING,2,11,60,0,49052,ok
2026-08-12T19:46:16.6806467+03:00,RUNNING,1,11,61,0,85516,ok
2026-08-12T19:51:17.8289989+03:00,RUNNING,2,11,64,0,124516,ok
2026-08-12T19:56:19.0678672+03:00,RUNNING,2,11,67,0,167652,ok
2026-08-12T20:01:20.2422214+03:00,RUNNING,1,11,65,0,212124,ok
2026-08-12T20:06:21.4133115+03:00,RUNNING,2,11,63,0,252488,ok
2026-08-12T20:11:22.5898357+03:00,RUNNING,2,11,68,0,292740,ok
2026-08-12T20:16:23.7737380+03:00,RUNNING,1,11,70,0,335124,ok
2026-08-12T20:21:24.9729340+03:00,RUNNING,2,11,69,0,387572,ok
2026-08-12T20:26:26.1488446+03:00,RUNNING,3,14,87,0,2434092,ok
2026-08-12T20:31:27.3490863+03:00,RUNNING,2,14,83,0,9583420,ok
2026-08-12T20:36:28.6523673+03:00,RUNNING,2,14,93,0,13692820,ok
2026-08-12T20:41:29.9967274+03:00,RUNNING,2,14,96,0,17513336,ok
2026-08-12T20:46:31.3987780+03:00,RUNNING,2,14,96,0,21117340,ok
2026-08-12T20:51:32.8687945+03:00,RUNNING,2,14,96,0,24420576,ok
2026-08-12T20:56:34.3741138+03:00,RUNNING,2,15,00,0,27775584,ok
2026-08-12T21:01:35.9143684+03:00,RUNNING,2,15,02,0,31243552,ok
2026-08-12T21:06:37.5813227+03:00,RUNNING,2,15,02,0,34485964,ok
2026-08-12T21:11:39.1630275+03:00,RUNNING,2,15,01,0,37671092,ok
2026-08-12T21:16:40.7854651+03:00,RUNNING,2,15,05,0,40905320,ok
2026-08-13T07:53:27.3201966+03:00,RUNNING,2,15,02,0,46096512,ok
2026-08-13T07:58:28.4965076+03:00,RUNNING,2,15,05,0,50555768,ok
2026-08-13T08:03:29.7650596+03:00,RUNNING,2,15,08,0,54281420,ok
2026-08-13T08:08:32.6516456+03:00,RUNNING,2,14,32,0,58644212,ok
2026-08-13T08:13:34.1837093+03:00,RUNNING,2,14,33,0,63741464,ok
2026-08-13T08:18:35.6506465+03:00,RUNNING,2,14,88,0,76451204,ok
2026-08-13T08:23:37.2992782+03:00,RUNNING,2,14,97,0,87561976,ok
2026-08-13T08:28:39.0758050+03:00,RUNNING,2,14,69,0,93752640,ok
